Hindi,English
जैसा,As
मैं,I
उसके,His
कि,That
वह,He
था,Was
के लिए,For
पर,Feather
हैं,Huh
साथ,with
वे,They
हो,Be
पर,Feather
एक,One
है,Is
इस,This
से,From
द्वारा,By
गरम,Hot
शब्द,word
लेकिन,But
क्या,What
कुछ,Some
है,Is
यह,This
आप,You
या,Or
था,Was
की,Of
तक,till
और,And
एक,One
में,In
हम,we
कर सकते हैं,can do
बाहर,Outside
अन्य,other
थे,Were
जो,that
कर,do
उनके,Their
समय,Time
अगर,if
होगा,Will happen
कैसे,How
कहा,said
एक,One
प्रत्येक,each
बता,Tell
करता है,Does
सेट,Set
तीन,three
चाहते हैं,Want to
हवा,air
अच्छी तरह से,properly
भी,Too
खेलने,Play
छोटे,Small
अंत,Ending
डाल,Branch
घर,House
पढ़ा,Read
हाथ,Hand
बंदरगाह,Port
बड़ा,Big
जादू,Magic
जोड़,Joint
और भी,Even more
भूमि,Earth
यहाँ,Here
चाहिए,needed
बड़ा,Big
उच्च,High
ऐसा,Like this
का पालन करें,Follow
अधिनियम,Act
क्यों,Why
पूछना,Ask
पुरुषों,Men
परिवर्तन,Change
चला गया,Gone
प्रकाश,Light
तरह,Like
बंद,Close
आवश्यकता,Need
घर,House
तस्वीर,Photo
कोशिश,Try
हमें,Us
फिर,Then
पशु,Animal
बिंदु,Point
मां,Mother
दुनिया,World
निकट,Close
बनाना,Make
आत्म,Self
पृथ्वी,Earth
पिता,Father
किसी भी,any
नई,New
काम,Work
हिस्सा,Part
लेना,to take
प्राप्त,Received
जगह,Place
निर्मित,Built
जीना,Live
जहां,Where
के बाद,after
वापस,Back
थोड़ा,Some
केवल,In college
दौर,Round
आदमी,man
वर्ष,Year
आया,Came
शो,Show
हर,Each
अच्छा,Good
मुझे,Me
दे,Give
हमारे,our
नीचे,Down
नाम,Name
बहुत,very
के माध्यम से,Through
बस,Enough
फार्म,Form
वाक्य,Sentence
महान,Great
लगता है,Seems like
कहना,Tell
मदद,Help
कम,Low
रेखा,Line
अलग,Separate
बारी,Turn
कारण,reason
ज्यादा,More
मतलब,Meaning
पहले,Earlier
चाल,Speed
सही,Correct
लड़का,Boy
पुराना,old
भी,Too
वही,Same
वह,He
सब,All
वहाँ,There
जब,When
ऊपर,up
उपयोग,Use
अपने,Our
रास्ता,Way
के बारे में,About this
कई,Many
तो,So
उन्हें,Them
लिखना,Write
होगा,Will happen
जैसा,As
तो,So
इन,In
उसके,His
लंबे समय तक,for a long time
कर,do
बात,Thing
देखना,Look
उसे,Him
दो,two
है,Is
देखो,See
अधिक,more
दिन,Day
सकता है,Can
जाना,Go
आ,Come
किया,did
संख्या,Number
ध्वनि,Sound
नहीं,No
सबसे,To all
लोग,People
मेरे,My
अधिक,more
पता,Know
पानी,Water
से,From
कॉल,Call
पहले,Earlier
कौन,Who
मई,May
नीचे,Down
पक्ष,Party
गया,Gaya
अब,Now
लगता है,Seems like
सिर,Head
खड़े,Stand
खुद,Self
पेज,Page
चाहिए,needed
देश,Country
पाया,Found
जवाब,Answer
स्कूल,School
बढ़ने,Rise
अध्ययन,Study
अब तक,till now
सीखना,Learn
संयंत्र,plant
कवर,Cover
भोजन,food
सूरज,Sun
चार,Four
के बीच,in between
राज्य,State
रखना,Keep
आंख,Eye
कभी नहीं,Never
पिछले,last
चलो,Let us go
सोचा,Think
शहर,City
पेड़,Tree
पार,Cross
खेत,Farm
कठिन,Difficult
शुरुआत,Beginning
हो सकता है,It is possible
कहानी,Story
देखा,saw
दूर,Distant
समुद्र,sea
आकर्षित,Attracted
छोड़ा,Left
देर से,late
चलाने,Run
ऐसा नहीं,Not so
जबकि,whereas
प्रेस,Press
करीब,near
रात,Night
असली,Real
जीवन,Life
कुछ,Some
उत्तर,answer
किताब,book
ले,Take
ले लिया,Got it
विज्ञान,Science
खाने,Eating
कमरे,rooms
दोस्त,Friend
शुरू हुआ,started
विचार,Idea
मछली,fish
पहाड़,the mountain
रोक,Stoppage
एक बार,Once
आधार,Base
सुनना,Listen
घोड़ा,Horse
कटौती,Deduction
यकीन,faith
घड़ी,Watch
रंग,Colour
चेहरा,face
लकड़ी,wood
मुख्य,Important
खुला,Open
प्रतीत,Seem to be
एक साथ,Together
अगला,next
सफेद,White
बच्चों,Kids
प्रारंभ करना,to begin
मिला,met
चलना,to walk
उदाहरण,Example
आसानी,Ease
कागज,Paper
समूह,Group
सदैव,Always
संगीत,music
उन,Those
दोनों,Both
मार्क,Mark
अक्सर,often
पत्र,Letter
जब तक,Unless
मील,Mile
नदी,River
कार,car
पैर,Feet
देखभाल,Care
दूसरा,Second
